parcel_id,crop_code,crop_name,crop_purity,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,center_lon,center_lat
GLC10_P0248,10,大田农作物 (通用耕地),0.995,30.9,2.06,20600.0,1180.3,0.186,良 (标准规整农机作业区),-13.307081,16.187771
GLC10_P0249,10,大田农作物 (通用耕地),1.0,30.9,2.06,20600.0,691.7,0.541,优 (集中连片优质适机区),-13.422321,16.056627
GLC10_P0250,10,大田农作物 (通用耕地),1.0,30.75,2.05,20500.0,798.3,0.404,优 (集中连片优质适机区),-13.839968,16.0863
GLC10_P0251,10,大田农作物 (通用耕地),0.985,30.3,2.02,20200.0,912.7,0.305,良 (标准规整农机作业区),-13.114372,16.215455
GLC10_P0252,10,大田农作物 (通用耕地),0.995,30.3,2.02,20200.0,1003.7,0.252,良 (标准规整农机作业区),-13.663036,16.104153
GLC10_P0253,10,大田农作物 (通用耕地),0.995,30.15,2.01,20100.0,893.2,0.317,良 (标准规整农机作业区),-13.741141,16.084075
GLC10_P0254,10,大田农作物 (通用耕地),0.985,30.0,2.0,20000.0,813.7,0.38,优 (集中连片优质适机区),-13.27669,16.196989
GLC10_P0255,10,大田农作物 (通用耕地),0.995,29.85,1.99,19900.0,895.1,0.312,良 (标准规整农机作业区),-13.477298,16.070873
GLC10_P0256,10,大田农作物 (通用耕地),1.0,29.85,1.99,19900.0,954.2,0.275,良 (标准规整农机作业区),-13.45432,16.133272
GLC10_P0257,10,大田农作物 (通用耕地),1.0,29.55,1.97,19700.0,890.0,0.313,良 (标准规整农机作业区),-13.722938,16.125301
GLC10_P0258,10,大田农作物 (通用耕地),1.0,29.55,1.97,19700.0,1071.8,0.215,良 (标准规整农机作业区),-13.978516,16.306915
GLC10_P0259,10,大田农作物 (通用耕地),0.99,29.25,1.95,19500.0,941.9,0.276,良 (标准规整农机作业区),-13.092336,17.491286
GLC10_P0260,10,大田农作物 (通用耕地),0.974,29.1,1.94,19400.0,826.1,0.357,优 (集中连片优质适机区),-13.375066,16.930016
GLC10_P0261,10,大田农作物 (通用耕地),0.99,29.1,1.94,19400.0,645.9,0.584,优 (集中连片优质适机区),-13.430768,16.100058
GLC10_P0262,10,大田农作物 (通用耕地),1.0,28.95,1.93,19300.0,736.8,0.447,优 (集中连片优质适机区),-12.750611,16.120427
GLC10_P0263,10,大田农作物 (通用耕地),1.0,28.8,1.92,19200.0,623.1,0.621,优 (集中连片优质适机区),-13.088553,17.254126
GLC10_P0264,10,大田农作物 (通用耕地),0.995,28.5,1.9,19000.0,963.5,0.257,良 (标准规整农机作业区),-13.261627,16.179592
GLC10_P0265,10,大田农作物 (通用耕地),1.0,28.35,1.89,18900.0,761.9,0.409,优 (集中连片优质适机区),-13.473372,16.06229
GLC10_P0266,10,大田农作物 (通用耕地),0.963,28.2,1.88,18800.0,853.5,0.324,良 (标准规整农机作业区),-13.174928,16.174128
GLC10_P0267,10,大田农作物 (通用耕地),1.0,27.9,1.86,18600.0,937.1,0.266,良 (标准规整农机作业区),-12.398303,17.375785
GLC10_P0268,10,大田农作物 (通用耕地),1.0,27.75,1.85,18500.0,987.5,0.238,良 (标准规整农机作业区),-13.967183,16.285807
GLC10_P0269,10,大田农作物 (通用耕地),0.989,27.6,1.84,18400.0,853.0,0.318,良 (标准规整农机作业区),-13.396347,16.92949
GLC10_P0270,10,大田农作物 (通用耕地),0.984,27.45,1.83,18300.0,862.6,0.309,良 (标准规整农机作业区),-13.237534,16.187657
GLC10_P0271,10,大田农作物 (通用耕地),0.956,27.3,1.82,18200.0,846.0,0.32,良 (标准规整农机作业区),-13.371791,16.936243
GLC10_P0272,10,大田农作物 (通用耕地),0.972,27.15,1.81,18100.0,757.7,0.396,优 (集中连片优质适机区),-13.682975,16.184363
GLC10_P0273,10,大田农作物 (通用耕地),0.983,27.0,1.8,18000.0,925.2,0.264,良 (标准规整农机作业区),-12.71086,16.141606
GLC10_P0274,10,大田农作物 (通用耕地),0.978,26.7,1.78,17800.0,747.5,0.4,优 (集中连片优质适机区),-12.957724,16.195272
GLC10_P0275,10,大田农作物 (通用耕地),0.994,26.7,1.78,17800.0,927.5,0.26,良 (标准规整农机作业区),-13.200276,16.177237
GLC10_P0276,10,大田农作物 (通用耕地),1.0,26.55,1.77,17700.0,836.8,0.318,良 (标准规整农机作业区),-13.68501,16.036753
GLC10_P0277,10,大田农作物 (通用耕地),0.994,26.55,1.77,17700.0,730.1,0.417,优 (集中连片优质适机区),-12.598778,16.067885
GLC10_P0278,10,大田农作物 (通用耕地),0.994,26.55,1.77,17700.0,1028.6,0.21,良 (标准规整农机作业区),-13.198861,16.173391
GLC10_P0279,10,大田农作物 (通用耕地),1.0,26.55,1.77,17700.0,665.8,0.502,优 (集中连片优质适机区),-13.703679,16.15136
GLC10_P0280,10,大田农作物 (通用耕地),0.977,26.4,1.76,17600.0,733.5,0.411,优 (集中连片优质适机区),-13.451547,16.132098
GLC10_P0281,10,大田农作物 (通用耕地),1.0,26.4,1.76,17600.0,743.1,0.401,优 (集中连片优质适机区),-13.397951,16.07289
GLC10_P0282,10,大田农作物 (通用耕地),0.989,26.25,1.75,17500.0,701.8,0.446,优 (集中连片优质适机区),-13.287219,16.187489
GLC10_P0283,10,大田农作物 (通用耕地),1.0,26.1,1.74,17400.0,657.9,0.505,优 (集中连片优质适机区),-13.810562,16.074057
GLC10_P0284,10,大田农作物 (通用耕地),1.0,25.95,1.73,17300.0,937.3,0.247,良 (标准规整农机作业区),-13.008635,16.536364
GLC10_P0285,10,大田农作物 (通用耕地),1.0,25.8,1.72,17200.0,864.5,0.289,良 (标准规整农机作业区),-13.685308,16.034975
GLC10_P0286,10,大田农作物 (通用耕地),0.994,25.8,1.72,17200.0,871.7,0.284,良 (标准规整农机作业区),-13.983125,16.054657
GLC10_P0287,10,大田农作物 (通用耕地),1.0,25.35,1.69,16900.0,738.2,0.39,优 (集中连片优质适机区),-13.39308,16.010381
GLC10_P0288,10,大田农作物 (通用耕地),1.0,25.35,1.69,16900.0,613.5,0.564,优 (集中连片优质适机区),-13.399076,16.017468
GLC10_P0289,10,大田农作物 (通用耕地),1.0,25.2,1.68,16800.0,632.8,0.527,优 (集中连片优质适机区),-13.435675,16.143066
GLC10_P0290,10,大田农作物 (通用耕地),1.0,25.05,1.67,16700.0,765.5,0.358,优 (集中连片优质适机区),-13.400289,16.021104
GLC10_P0291,10,大田农作物 (通用耕地),1.0,25.05,1.67,16700.0,792.5,0.334,良 (标准规整农机作业区),-13.408431,16.060733
GLC10_P0292,10,大田农作物 (通用耕地),0.994,25.05,1.67,16700.0,828.0,0.306,良 (标准规整农机作业区),-13.964788,16.292493
GLC10_P0293,10,大田农作物 (通用耕地),1.0,24.75,1.65,16500.0,1000.5,0.207,良 (标准规整农机作业区),-13.96617,16.313134
GLC10_P0294,10,大田农作物 (通用耕地),1.0,24.75,1.65,16500.0,622.7,0.535,优 (集中连片优质适机区),-13.387772,16.004237
GLC10_P0295,10,大田农作物 (通用耕地),1.0,24.45,1.63,16300.0,776.9,0.339,良 (标准规整农机作业区),-13.937327,16.152745
GLC10_P0296,10,大田农作物 (通用耕地),1.0,24.3,1.62,16200.0,769.3,0.344,良 (标准规整农机作业区),-13.394436,16.052959
GLC10_P0297,10,大田农作物 (通用耕地),1.0,24.15,1.61,16100.0,1001.5,0.202,良 (标准规整农机作业区),-12.172044,17.858231
GLC10_P0298,10,大田农作物 (通用耕地),1.0,24.15,1.61,16100.0,687.3,0.428,优 (集中连片优质适机区),-13.267191,16.167258
GLC10_P0299,10,大田农作物 (通用耕地),0.994,24.15,1.61,16100.0,664.8,0.458,优 (集中连片优质适机区),-12.122426,16.692365
GLC10_P0300,10,大田农作物 (通用耕地),1.0,24.0,1.6,16000.0,661.6,0.459,优 (集中连片优质适机区),-13.976656,17.09374
GLC10_P0301,10,大田农作物 (通用耕地),1.0,23.85,1.59,15900.0,850.6,0.276,良 (标准规整农机作业区),-13.29306,16.185491
GLC10_P0302,10,大田农作物 (通用耕地),0.994,23.85,1.59,15900.0,652.2,0.47,优 (集中连片优质适机区),-13.040945,17.023688
GLC10_P0303,10,大田农作物 (通用耕地),0.994,23.55,1.57,15700.0,957.1,0.215,良 (标准规整农机作业区),-12.948048,16.157714
